movieTitle,popular,good,bad
魔髮精靈,6,1,0
比利林恩,127,51,3
的中場戰事,85,40,4
怪獸與牠們的產地,116,29,3
死亡筆記本:,4,0,0
決戰新世界,10,1,2
烈火邊境,8,0,0
惡魔蛙男,18,3,0
我們的輕狂年代,7,2,0
鋼鐵英雄,56,21,1
怪物來敲門,35,18,0
腸腸搞轟趴,25,8,0
路易的第9條命,5,1,0
育陰房,7,3,0
追殺厄夜叢林,6,2,0
鋼鐵麥斯,12,0,3
一路順風,18,8,2
毛小孩選邊站,0,0,0
絕命瘋人院,0,0,0
陰桃術,0,0,0
暗殺教室：365日倒數計時,0,0,0
玩命光頭,3,0,0
只要我長大,21,7,0
玩酷壞痞子,0,0,0
獻給米其林,6,1,0
的生命貴客,6,1,0
密探,17,3,0
沉默,23,3,0
夜行動物,7,1,0
星際大戰外傳:,1,0,0
俠盜一號,12,0,0
星際過客,4,0,0
長城,7,0,0
間諜大鄰演,0,0,0
不過就是世界,1,0,0
末日,56,3,0
最美的安排,4,0,0
惱爸偏頭痛,0,0,0
刺客教條,16,0,0
決戰異世界5,0,0,0
樂來越愛你,10,0,0
一萬公里的約定,1,0,0
聖誕搞轟趴,1,0,0
擺渡人,2,0,0
墮落天使,2,0,0
歡樂好聲音,9,0,0
遇見街貓BOB,4,1,0
通靈美人,0,0,0
卡內陰,1,0,0
失控隧道,0,0,0
金爆內幕,1,0,0
終極車陣:飆出重圍,0,0,0
怪物遊戲,12,4,0
神鬼獵人,166,38,15
大賣空,51,22,0
第5毀滅,7,3,1
13小時,31,13,2
翻轉幸福,15,3,1
女權之聲,14,8,1
愛在他鄉,19,12,0
史帝夫賈伯斯,27,13,2
安諾瑪麗莎,13,10,0
葉問3,52,15,1
瞎趴姊妹,3,1,0
驚天巨浪,7,3,0
阿公歐買尬,22,2,3
寂寞公路,10,4,0
家有兩個爸,5,1,1
惡女訂製服,13,4,0
終極救援,7,0,0
鼠來寶4,0,0,0
聖獄:耶路撒冷,3,0,1
我們全家不太熟,5,2,1
新世紀福爾摩斯,31,12,4
45年,16,8,0
索爾之子,16,11,0
銀河街道,5,0,0
為愛而生,0,0,0
久美子的奇異旅程,6,2,0
教父啟示錄,2,1,0
妖怪手錶,9,2,0
極地奇蹟,2,0,1
恐龍當家,16,4,2
惡棍英雄:死侍,3,1,0
八惡人,54,21,0
震盪,12,5,0
效應,50,7,1
傲慢與偏見與殭屍,11,5,0
單身啪啪啪,59,27,0
驚爆焦點,89,46,0
荷魯斯之眼,33,19,2
神廚,20,5,2
丹麥女孩,93,29,1
扣押幸福,15,5,2
名模大間諜2,11,2,1
大尾鱸鰻2,52,6,10
非普通屍戀,9,3,0
西遊記之孫悟空三打白骨精,9,6,0
動物方城市,178,62,1
人生按個讚,18,3,1
好萊塢的黑名單,5,3,0
鬼門開,7,1,1
年輕氣盛,7,3,0
不存在的房間,61,33,0
假掰新郎,7,2,1
臥虎藏龍2,8,1,0
岸邊之旅,4,2,0
全面攻佔2,34,11,4
託陰,18,2,3
赤誠者,7,1,1
蝙蝠俠對超人,259,59,25
因為愛你,53,24,0
絕命救援,30,10,0
窒命地,14,5,0
少女離家記,11,10,0
惡夜殺機,4,0,1
無限春光27,6,3,0
帕蒂瑪的顛倒世界,6,1,0
單身動物園,70,42,0
五星級魚干女,30,11,3
馬克白,15,9,0
